100	Portuguese	S Pedro do Sul	Siqueira, Joao Inácio de	West-central Africa	West-central Africa
101	Portuguese	Feliz Americano	Azevedo, Agostinho de	West-central Africa	West-central Africa
102	Portuguese	Ludovino	Viana, José Pinto de Araújo	West-central Africa	West-central Africa
103	Portuguese	Reino do Brasil	Teixeira, José de Souza	West-central Africa	West-central Africa
104	Portuguese	Ligeiro	Assis, Francisco Antônio de	West-central Africa	West-central Africa
105	Portuguese	Feliz Eugenia	Moraes, José de	West-central Africa	West-central Africa
106	Portuguese	Mercúrio	Martins, Francisco José	West-central Africa	West-central Africa
107	Portuguese	Ásia	Martins, Diogo José	West-central Africa	West-central Africa
108	Portuguese	Feliz Carlota	Pereira, Albino Mariano dos Santos	West-central Africa	West-central Africa
109	Portuguese	Esgueira	Silva, José dos Santos Almeida e	South-east Africa	South-east Africa
110	Portuguese	Leopoldina	Cunha, Henrique Francisco da	West-central Africa	West-central Africa
111	Portuguese	Serpente	Cunha, Eusébio José da	South-east Africa	South-east Africa
112	Swedish	Maria	Benoat	Unknown	Unknown
116	Portuguese	Eleonora	Brito, Vítor de	Bight of Biafra	Bight of Biafra
117	French	Rôdeur	Boucher	Bight of Biafra	Bight of Biafra
119	Portuguese	Aimable Henriette	Bréaut, J Auguste	Unknown	Unknown
120	Spanish	Daphnée	Allain	Sierra Leone	Sierra Leone
121	French	Aurore	Deniel, Jean Baptiste	Bight of Biafra	Bight of Biafra
122	Portuguese	Romano	Antônio, D José	Unknown	Unknown
123	French	Caroline	Triarte, Felix	Unknown	Unknown
124	Spanish	Minerva	Sangredo, J S	Gold Coast	Gold Coast
125	Spanish	Atalanta	Peoli, J J	Unknown	Unknown
126	Portuguese	Zéfiro	Brito, Vítor Nobre de	Unknown	West-central Africa
127	Spanish	NS de Pilar (a) L Zaragor	Sandeli, Juan	Unknown	Unknown
128	Spanish	Herculina	Garay, José	Unknown	Unknown
129	U.S.A.	Esencia	Brown, M	Unknown	Unknown
130	Spanish	Merced	Trasmussas, Juan	Unknown	Unknown
131	Portuguese	Romana	Antônio, José	Unknown	Unknown
132	French	Africain	Quoniam, B C	Sierra Leone	Sierra Leone
133	Spanish	Antonica	Zorilla, J	Unknown	Unknown
134	Portuguese	S José Americano	Marques, Domingos Joaquim	West-central Africa	West-central Africa
135	Portuguese	Golfinho	Braga, Antônio Manoel de Azevedo	West-central Africa	West-central Africa
136	Portuguese	Aurora do Cabo	Pacheco, José Emídio Adauto	South-east Africa	South-east Africa
138	Portuguese	Paquete do Rio	Blanchart, Manoel Pereira de Souza	West-central Africa	West-central Africa
139	Portuguese	Liberal	Machado, Manoel de Souza	West-central Africa	West-central Africa
140	Portuguese	Amazona	Silva, Manoel Lopes da	South-east Africa	South-east Africa
141	Portuguese	NS da Conceiçao Esperança	Carvalho, Agostinho J	South-east Africa	South-east Africa
142	Portuguese	Pastora de Lima	Oliveira, José Malaquias de	West-central Africa	West-central Africa
143	Portuguese	Esperança	Loureiro, Joaquim José da Silva	West-central Africa	West-central Africa
144	Portuguese	Triunfo do Brasil	Carrilho, Joao Rodrigues	South-east Africa	South-east Africa
145	Portuguese	NS da Guia	Silva, José Jorge da	South-east Africa	South-east Africa
146	Portuguese	Maria Tomásia	Silva, José Pinto Ribeiro da	West-central Africa	West-central Africa
147	Portuguese	Ulisses	Viana, Pedro José Correa	South-east Africa	South-east Africa
148	Portuguese	Trajano	Silva, Manoel Francisco da	West-central Africa	West-central Africa
149	Portuguese	Zéfiro	Melo, José Antônio de	South-east Africa	South-east Africa
150	Portuguese	Mercúrio	Pereira, Anacleto de Jesus	West-central Africa	West-central Africa
151	Portuguese	Leopoldina	Menezes, Antônio Joaquim de	South-east Africa	South-east Africa
152	Portuguese	Mariana	Domingues, Jerônimo	South-east Africa	South-east Africa
153	Portuguese	Minerva	Souza, Antônio José de	South-east Africa	South-east Africa
154	Portuguese	Príncipe Regente	Santos, Antônio Teodoro dos	West-central Africa	West-central Africa
155	Portuguese	Príncipe Real Duque de Bragança	Badoem, Joaquim Azevedo	West-central Africa	West-central Africa
156	Portuguese	Vinte e Seis de Fevereiro	Branco, Paulo José	South-east Africa	South-east Africa
157	Portuguese	NS da Boa Viagem Abismo	Brito, Antônio Luís Ribeiro de	West-central Africa	West-central Africa
158	Portuguese	General Sampaio	Ferreira, Joaquim Francisco Xavier	West-central Africa	West-central Africa
159	Portuguese	General Silveira	Freitas, Antônio Lourenço de	South-east Africa	South-east Africa
160	Portuguese	Conde dos Arcos	Luz, Antônio da	South-east Africa	South-east Africa
161	Portuguese	Mariana Dáfine	Oliveira, Sérgio Ferreira de	West-central Africa	West-central Africa
162	Portuguese	Feliz Eugenia	Fogaça, Antônio Gomes	South-east Africa	South-east Africa
163	Portuguese	S Antônio Destemido (a) S Amaro	Silva, Jacob Leandro da	West-central Africa	West-central Africa
164	Portuguese	Maria	Marta, Inácio Alves	West-central Africa	West-central Africa
165	Portuguese	S Rosa	Faria, Manoel de Jesus	West-central Africa	West-central Africa
166	Portuguese	NS do Baluarte	Pinheiro, Luís José Soares	South-east Africa	South-east Africa
167	Portuguese	S José Diligente Vulcano	Costa, Silvestre Manoel Pereira da	West-central Africa	West-central Africa
168	Portuguese	NS da Conceiçao e Sr dos Passos	Santos, José Vitorino dos	West-central Africa	West-central Africa
169	Portuguese	Reino do Brasil	Maia, Manoel Rodrigues	West-central Africa	West-central Africa
170	Portuguese	Grao Penedo	Salazar, José Pereira	West-central Africa	West-central Africa
171	Portuguese	Urânia	Gomes, Manoel de Souza	West-central Africa	West-central Africa
172	Portuguese	Amália	Batalha, Luís Antônio	West-central Africa	West-central Africa
173	Portuguese	Santana Flor de Luanda	Lopes, Francisco da Silva	West-central Africa	West-central Africa
174	Portuguese	Ligeiro	Santos, Francisco dos	West-central Africa	West-central Africa
175	Portuguese	S José Diligente	Branco, Antônio Rodrigues	West-central Africa	West-central Africa
176	Portuguese	Mercantil	Rodrigues, Francisco Manoel de	West-central Africa	West-central Africa
178	Portuguese	Flor do Brasil	Costa, Joao Lopes da	West-central Africa	West-central Africa
179	Portuguese	Caçador	Oliveira, Francisco de Paula Neves	West-central Africa	West-central Africa
180	Portuguese	Tejo	Sá, José Ferreira de	West-central Africa	West-central Africa
181	Portuguese	Adamastor	Seixas, Valeriano José de	West-central Africa	West-central Africa
182	Portuguese	Marques de Pombal	Azevedo, José Francisco de	West-central Africa	West-central Africa
184	Portuguese	General Rego	Pereira, Albino Mariano dos Santos	West-central Africa	West-central Africa
185	Portuguese	Polifemo	Santos, Antônio Teodoro dos	West-central Africa	West-central Africa
186	Portuguese	Trajano	Melo, Francisco José de	West-central Africa	West-central Africa
187	Portuguese	Bela Americana	Chaves, José Joaquim	West-central Africa	West-central Africa
188	Portuguese	Golfinho	Braga, Antônio Manoel de Azevedo	West-central Africa	West-central Africa
189	Portuguese	Paquete do Rio	Blanchart, Manoel Pereira de Souza	West-central Africa	West-central Africa
190	Portuguese	Esperança	Loureiro, Joaquim José da Silva	West-central Africa	West-central Africa
191	Portuguese	Esperança	Pacheco, José dos Santos	West-central Africa	West-central Africa
192	Portuguese	Imperador Feliz	Pereira, Francisco Manoel	West-central Africa	West-central Africa
193	Portuguese	Aurora do Cabo	Pacheco, José Emídio Adauto	South-east Africa	South-east Africa
194	Portuguese	Triunfo do Brasil	Neves, Maximiliano José das	West-central Africa	West-central Africa
196	Portuguese	NS da Conceiçao e Sr dos Passos	Santos, José Vitorino dos	West-central Africa	West-central Africa
197	Portuguese	Pastora de Lima	Oliveira, José Malaquias de	West-central Africa	West-central Africa
198	Portuguese	Santana Flor da África	Almeida, Manoel Joaquim de	Bight of Benin	Bight of Benin
199	Portuguese	Sacramento	Santos, José Martins dos	West-central Africa	West-central Africa
200	Portuguese	Alegria dos Anjos	Porto, Antônio Ribeiro	West-central Africa	West-central Africa
201	Portuguese	Lusitânia	Antônio Neto, Miguel	West-central Africa	West-central Africa
202	Portuguese	Rosália	Alberto, Caetano	West-central Africa	West-central Africa
204	Portuguese	Bonfim	Neves, Pascoal de Souza	West-central Africa	West-central Africa
205	Portuguese	Vitória	Santos, Manoel Cardosos dos	West-central Africa	West-central Africa
206	Portuguese	Paquete da Bahia	Cardoso, Manoel Isidoro	West-central Africa	West-central Africa
207	Portuguese	Vigilante Guerreiro	Pontes, Joao Antônio	Bight of Benin	Bight of Benin
208	Portuguese	Paz e Uniao	Silva, André Pinto da	West-central Africa	West-central Africa
209	Portuguese	Bela Astrea	Guimaraes, Manoel José da Silveira	West-central Africa	West-central Africa
212	Portuguese	Lucrécia	Noronha, Manoel Joaquim de	West-central Africa	West-central Africa
213	Portuguese	Voador	Pereira, Manoel Joaquim	West-central Africa	West-central Africa
214	Portuguese	Cisne	Almeida, Manoel Gomes de	West-central Africa	West-central Africa
215	Brazilian	Maria da Glória	Teixeira, Joao Vicente da	Bight of Benin	Bight of Benin
216	Brazilian	Toninha	Silva, Antônio José da	Unknown	West-central Africa
217	Brazilian	Zéfiro	Rios, Marcelino Alves da Cruz	Bight of Benin	Bight of Benin
218	Brazilian	Sacramento	Veloso, José Joaquim	Bight of Benin	Bight of Benin
219	Portuguese	S Joao e Segunda Rosália	Sabino, Joao	West-central Africa	West-central Africa
220	Portuguese	Primeira Estrela	Rodrigues, Cosme José	West-central Africa	West-central Africa
221	Brazilian	Vigilante	Costa, Joao Martins da	Bight of Benin	Bight of Benin
222	Portuguese	Alegria dos Anjos	Porto, Antônio Ribeiro	West-central Africa	West-central Africa
